,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
RP5-866L20.1,1.408339687793975,-0.602595320943512,0.4907986703043012,-1.2277851538796867,0.2195276302220316,0.3511367175233557,False
MVB12A,267.0837978148769,0.10219425437504087,0.08323726241545065,1.227746461254009,0.2195421593177358,0.3511420470344364,False
RP13-487P22.1,18.256812454270932,-0.2878287232241926,0.2344814560970569,-1.2275116677246074,0.21963033918002173,0.35126516914960637,False
G28650,8.305857547571364,-0.250770845518668,0.20430550165722322,-1.2274307029646356,0.2196607524762888,0.3512821915918228,False
ATG16L2,743.2883908383417,0.1956367054317528,0.15938807969880406,1.2274236931735913,0.2196633857498611,0.3512821915918228,False
RP11-307L3.4,7.260055851505082,-0.2975539234837787,0.24243257595342377,-1.2273677426128775,0.21968440475383544,0.35129789062670336,False
RP11-422P24.12,5.1550303352319675,0.28941904751838243,0.2358237946705868,1.227268214908766,0.21972179799519453,0.35131976553330596,False
BTG2,1508.2823465068445,0.10173286662402267,0.08289375585982067,1.227268152694882,0.21972182137080587,0.35131976553330596,False
CTD-3032J10.4,3.25276471697737,0.4506172422919649,0.36717883354292696,1.2272418808675234,0.21973169263935788,0.35131976553330596,False
RP11-567O16.1,1.6499722339052851,0.5216326254841493,0.4251191522786844,1.2270268763195973,0.21981248952637866,0.3514310309226222,False
TRAJ23,1.5991058655824042,0.6014852772670033,0.49027724815826557,1.226826819980924,0.21988768814963955,0.35153333505162604,False
ABCA9-AS1,5.348239879885654,-0.48322515564415025,0.39391589138724914,-1.2267216586322063,0.2199272243594338,0.3515786183367408,False
RP11-845M18.6,1.3381386139928604,-0.6860071748374222,0.5592444811451613,-1.2266677597473823,0.21994749003265934,0.35159309243675185,False
APAF1,329.7321738834913,-0.09999553643052644,0.08152236015922439,-1.226602569346881,0.21997200304176434,0.35161435421732656,False
AC006159.5,6.573601114651659,-0.3055640099650362,0.2491356146125383,-1.2264967031721123,0.22001181520349722,0.3516600675220017,False
ADGRB2,24.590345346337934,0.1564116792774157,0.1275791565582148,1.2259971259963967,0.22019975656305357,0.351942529219579,False
MAGIX,38.371371432626674,-0.1437978132992343,0.11730378623668242,-1.2258582430501876,0.2202520248996367,0.35200812867457987,False
AC093620.5,12.853472778191753,-0.2221754800076313,0.18125860174430197,-1.225737580835198,0.22029744312287025,0.3520344825374999,False
DFFBP1,2.819771274854623,-0.4035943849337793,0.32927762072484007,-1.2256963714853912,0.2203129561908198,0.3520344825374999,False
LINC00235,52.02048560524192,-0.15315521048155542,0.12494840802476304,-1.225747593768479,0.2202936739190623,0.3520344825374999,False
TECPR2,429.4128197651009,-0.06474821832644947,0.05282571155684524,-1.2256951476512443,0.22031341690946982,0.3520344825374999,False
MIR141,1.5909186017459522,-0.5508626733287137,0.4494482606577547,-1.2256420183327488,0.220333418380513,0.3520485046320318,False
RP11-165J3.6,8.422296345542577,-0.26135991545596987,0.21325247812820447,-1.225589112726952,0.2203533369252303,0.35206239280493284,False
NKAIN3,2.2164710138442762,-0.50041289631661,0.40831742508241825,-1.2255487167014791,0.22036854658087224,0.3520687564713512,False
RP11-159N11.3,0.8460152711784319,0.7524852816467023,0.6140174376054567,1.2255112567832636,0.22038265142490698,0.3520733544923629,False
PKDCC,50.093587604160646,0.2875335433640332,0.23465383652681615,1.225351980687407,0.22044263114280516,0.35213575859282187,False
RP11-611O2.1,7.271403963581537,0.327256629889016,0.26707242265880377,1.2253478911489863,0.2204441713231594,0.35213575859282187,False
XLOC_008986,9.902346947129221,0.34361870480898565,0.28045254248591533,1.2252294158689705,0.22048879420783707,0.3521890992898574,False
RNA5SP201,3.2152981619915417,0.4949980471581877,0.4040531697062685,1.2250814602395836,0.22054452975602967,0.352229038341313,False
CTXN3,0.31530809787952085,1.4900220858371773,1.2162714908695762,1.2250735933733699,0.22054749352264102,0.352229038341313,False
C12orf71,2.4126438031130766,-0.5173329858168473,0.4222705326692751,-1.2251221569894049,0.2205291981008205,0.352229038341313,False
RP11-367G18.2,1.3170615861973118,0.5470724366355362,0.44658796586602917,1.2250048779855638,0.22057338260223902,0.35224270221205284,False
ST13P5,1.2689260922222976,0.5231280789756139,0.42704637665632794,1.2249912598991775,0.22057851358546854,0.35224270221205284,False
ADAMTS10,102.79517041457015,-0.27995474524048086,0.22859212535938198,-1.2246911165480832,0.22069162246365082,0.35238743790529986,False
CACNA2D3,20.34527970597628,0.3123636199524762,0.2550521652927468,1.2247048347695764,0.22068645185159963,0.35238743790529986,False
RNU6-341P,5.6026480732561135,-0.3109772399378105,0.25395059818410337,-1.2245580130997182,0.22074179574387187,0.35244960615690757,False
RP11-118E18.1,3.0089961924867206,0.4492943552134343,0.36692166819585703,1.2244966546200482,0.22076492754704236,0.35246859423048815,False
RP4-613A2.1,0.9866908064026333,0.6648119335697908,0.5429809492595405,1.2243743256119581,0.22081105008463853,0.35249126004483783,False
AFAP1,279.1289948685924,0.17841974479032877,0.14572731437263026,1.2243397578445911,0.22082408465691594,0.35249126004483783,False
RPLP1P6,5.448684582516081,-0.2852500869551657,0.23297651126123828,-1.2243727292976443,0.22081165199954078,0.35249126004483783,False
RP11-46I1.2,4.8069031730860985,0.4343613663465694,0.35476383897051644,1.2243676458317618,0.22081356880649805,0.35249126004483783,False
MEGF10,19.954312967248796,-0.3333014651806144,0.2722446654461165,-1.2242717947638995,0.2208497133092454,0.35251422656781883,False
PCSK2,527.5285364616467,0.24034041141197404,0.196330311561503,1.2241635512134577,0.2208905359960932,0.35256144181786864,False
RP11-6J24.3,3.9680776064321024,-0.42896618835967804,0.35046191755885153,-1.224002286318723,0.22095136504626534,0.3526405826174808,False
DECR1,868.6172730155133,-0.07577998304283506,0.06191750656314017,-1.2238862197326805,0.22099515274488069,0.35269251857910733,False
MIR25,3.542960570303948,0.3758393499707768,0.30713310577991704,1.223701850754222,0.2210647212390633,0.35278559147407385,False
LAMTOR1,617.2990504769281,0.08515258547057639,0.06958864269091389,1.2236563637085376,0.22108188741519696,0.3527950330419589,False
PCDHGC4,27.77436547654532,0.2500717705419678,0.2044181168685667,1.2233346748945675,0.22120331555776662,0.35297084291922665,False
