,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
FGD3,109.49147651694,0.658568954251165,0.15139710288610062,4.349944230746747,1.3617215930855345e-05,0.0021681255760619416,False
C9orf172,37.969676281143855,0.7947295047470141,0.1832987817563891,4.335705328381501,1.4529347611441482e-05,0.0022699968974110927,False
MT-TP,364.7805860171314,-0.6681822936187888,0.15405450975413032,-4.337310830336626,1.442365802069832e-05,0.0022699968974110927,False
SPATS2L,1089.6357786708656,-0.26858715665468524,0.06208656549159085,-4.326010861255698,1.5183393909758446e-05,0.0023524138297519085,False
RAB3GAP2,1362.7702399239815,-0.18996075048083427,0.04396846391694744,-4.320386330522108,1.557562727919336e-05,0.002393240184915396,False
TIGAR,243.48198724147906,0.950526567306409,0.22012444104663617,4.318132792464549,1.5735475191130457e-05,0.0023979832356844054,False
RAB14,2807.596238346575,-0.23366338488710056,0.054200230989349105,-4.311114189402953,1.6243399090638436e-05,0.0024552624056353644,False
KCNK10,21.431134653315507,1.2509103160200141,0.29050161973565736,4.306035598556329,1.662063211668831e-05,0.002492022518657009,True
TPRG1,1324.595135558969,-0.34110931875451755,0.07927505382529165,-4.302858242219082,1.6860873562990243e-05,0.0025078188902649167,False
MB21D1,58.314527000413044,0.6019613173241266,0.14056302576707427,4.282501134556048,1.848041895328444e-05,0.002507941234886601,False
LRRC16B,150.3210479495877,0.6158684209772239,0.14350645734499032,4.2915728836973015,1.7741195141925885e-05,0.002507941234886601,False
S100A9,13518.767838998776,2.061588589291499,0.4809314204796644,4.286658141893374,1.8138109284911776e-05,0.002507941234886601,True
GAS8,88.14725152515543,0.3856422034631389,0.08980614844879767,4.294162594925336,1.7535393307592838e-05,0.002507941234886601,False
PRODH,653.0297237092536,0.602009260175668,0.14054154447608289,4.28349682949526,1.8397872151444482e-05,0.002507941234886601,False
HOMEZ,296.1671499008488,-0.24149818121943553,0.05631205608589635,-4.288569766500144,1.7982731635397538e-05,0.002507941234886601,False
IFI27,1162.7694920968502,1.6516983267445107,0.3853371814167642,4.28637153744607,1.816151458001392e-05,0.002507941234886601,True
PKN3,60.55118781907894,0.36299942549549136,0.08446059237159276,4.297855547809081,1.724584894286395e-05,0.002507941234886601,False
MOB3B,482.7946481250636,-0.3019819758278384,0.07021672302991276,-4.300713032409561,1.7024941417309757e-05,0.002507941234886601,False
TNNC1,43.50445394912409,-0.8705813560022568,0.20277021467995238,-4.293438054382698,1.759274150510081e-05,0.002507941234886601,False
TRIM10,36.08467670361433,1.2953226256369796,0.30235670017558464,4.284087717866877,1.834905151137007e-05,0.002507941234886601,True
TELO2,247.83399863611444,0.4570297051961611,0.10646085332035223,4.292936708114759,1.7632528184967504e-05,0.002507941234886601,False
HMHA1,217.29320568436333,0.4645462155039385,0.10854576370224618,4.279726814380738,1.871228552088078e-05,0.002521005886987068,False
ZDHHC1,153.8539208127726,0.4245868620479448,0.09945558987427679,4.269110088077212,1.962543946225234e-05,0.0026250084207352195,False
ACAP3,1450.6196562612436,0.44744825604571337,0.10514524990200397,4.255525156511949,2.085589121464543e-05,0.002761329048794381,False
PTGDR2,18.32617517266312,0.9186913674116747,0.2159286150384199,4.2546068627736675,2.0941662859294738e-05,0.002761329048794381,False
PAQR4,104.43674397651526,0.5168165667549373,0.12154174236144052,4.252173423826931,2.1170581126501143e-05,0.0027618396736759578,False
COL6A6,511.5842104687267,1.3242621036513142,0.3114875477588561,4.2514126589629075,2.1242635183716755e-05,0.0027618396736759578,True
PRSS22,128.32054423649168,1.042389380756932,0.24572575862104032,4.242084291881304,2.2145348156705846e-05,0.0028394918133067245,True
NCF2,427.71928065714,0.5321580208762683,0.1254289713631637,4.242704178251388,2.208424607336612e-05,0.0028394918133067245,False
INO80E,233.8159246981348,0.5350972373136378,0.12639910894037532,4.233394062659513,2.301906401374408e-05,0.0028913167664619036,False
PRELID2,87.74310377176099,-0.4280484875037798,0.10125514354534969,-4.227424627688839,2.3638131911693706e-05,0.0028913167664619036,False
LINC00162,48.39761584542541,0.6297572573339362,0.14875552634764616,4.233504951353366,2.3007711450999068e-05,0.0028913167664619036,False
DUOXA1,832.8306631844895,0.36999934449063954,0.08744520115655616,4.231213829884352,2.324335760229311e-05,0.0028913167664619036,False
VWA1,332.0212869865341,0.428107772204314,0.10122308720102989,4.229349094580453,2.3436842631909696e-05,0.0028913167664619036,False
WRAP73,167.38243344744438,0.3004160832555633,0.07105448380483177,4.227967992572128,2.3581132715867796e-05,0.0028913167664619036,False
